county-state,POPESTIMATE2019
"Alabama, AL",4903185
"Autauga County, AL",55869
"Baldwin County, AL",223234
"Barbour County, AL",24686
"Bibb County, AL",22394
"Blount County, AL",57826
"Bullock County, AL",10101
"Butler County, AL",19448
"Calhoun County, AL",113605
"Chambers County, AL",33254
"Cherokee County, AL",26196
"Chilton County, AL",44428
"Choctaw County, AL",12589
"Clarke County, AL",23622
"Clay County, AL",13235
"Cleburne County, AL",14910
"Coffee County, AL",52342
"Colbert County, AL",55241
"Conecuh County, AL",12067
"Coosa County, AL",10663
"Covington County, AL",37049
"Crenshaw County, AL",13772
"Cullman County, AL",83768
"Dale County, AL",49172
"Dallas County, AL",37196
"DeKalb County, AL",71513
"Elmore County, AL",81209
"Escambia County, AL",36633
"Etowah County, AL",102268
"Fayette County, AL",16302
"Franklin County, AL",31362
"Geneva County, AL",26271
"Greene County, AL",8111
"Hale County, AL",14651
"Henry County, AL",17205
"Houston County, AL",105882
"Jackson County, AL",51626
"Jefferson County, AL",658573
"Lamar County, AL",13805
"Lauderdale County, AL",92729
"Lawrence County, AL",32924
"Lee County, AL",164542
"Limestone County, AL",98915
"Lowndes County, AL",9726
"Macon County, AL",18068
"Madison County, AL",372909
"Marengo County, AL",18863
"Marion County, AL",29709
"Marshall County, AL",96774
"Mobile County, AL",413210
"Monroe County, AL",20733
"Montgomery County, AL",226486
"Morgan County, AL",119679
"Perry County, AL",8923
"Pickens County, AL",19930
"Pike County, AL",33114
"Randolph County, AL",22722
"Russell County, AL",57961
"St. Clair County, AL",89512
"Shelby County, AL",217702
"Sumter County, AL",12427
"Talladega County, AL",79978
"Tallapoosa County, AL",40367
"Tuscaloosa County, AL",209355
"Walker County, AL",63521
"Washington County, AL",16326
"Wilcox County, AL",10373
"Winston County, AL",23629
"Alaska, AK",731545
"Aleutians East Borough, AK",3337
"Aleutians West Census Area, AK",5634
"Anchorage Municipality, AK",288000
"Bethel Census Area, AK",18386
"Bristol Bay Borough, AK",836
"Denali Borough, AK",2097
"Dillingham Census Area, AK",4916
"Fairbanks North Star Borough, AK",96849
"Haines Borough, AK",2530
"Hoonah-Angoon Census Area, AK",2148
"Juneau City and Borough, AK",31974
"Kenai Peninsula Borough, AK",58708
"Ketchikan Gateway Borough, AK",13901
"Kodiak Island Borough, AK",12998
"Kusilvak Census Area, AK",8314
"Lake and Peninsula Borough, AK",1592
"Matanuska-Susitna Borough, AK",108317
"Nome Census Area, AK",10004
"North Slope Borough, AK",9832
"Northwest Arctic Borough, AK",7621
"Petersburg Borough, AK",3266
"Prince of Wales-Hyder Census Area, AK",6203
"Sitka City and Borough, AK",8493
"Skagway Municipality, AK",1183
"Southeast Fairbanks Census Area, AK",6893
"Valdez-Cordova Census Area, AK",9202
"Wrangell City and Borough, AK",2502
"Yakutat City and Borough, AK",579
"Yukon-Koyukuk Census Area, AK",5230
"Arizona, AZ",7278717
"Apache County, AZ",71887
"Cochise County, AZ",125922
"Coconino County, AZ",143476
"Gila County, AZ",54018
"Graham County, AZ",38837
"Greenlee County, AZ",9498
"La Paz County, AZ",21108
"Maricopa County, AZ",4485414
"Mohave County, AZ",212181
"Navajo County, AZ",110924
"Pima County, AZ",1047279
"Pinal County, AZ",462789
"Santa Cruz County, AZ",46498
"Yavapai County, AZ",235099
"Yuma County, AZ",213787
"Arkansas, AR",3017804
"Arkansas County, AR",17486
"Ashley County, AR",19657
"Baxter County, AR",41932
"Benton County, AR",279141
"Boone County, AR",37432
"Bradley County, AR",10763
"Calhoun County, AR",5189
"Carroll County, AR",28380
"Chicot County, AR",10118
"Clark County, AR",22320
"Clay County, AR",14551
"Cleburne County, AR",24919
"Cleveland County, AR",7956
"Columbia County, AR",23457
"Conway County, AR",20846
"Craighead County, AR",110332
"Crawford County, AR",63257
"Crittenden County, AR",47955
"Cross County, AR",16419
"Dallas County, AR",7009
"Desha County, AR",11361
"Drew County, AR",18219
"Faulkner County, AR",126007
"Franklin County, AR",17715
"Fulton County, AR",12477
"Garland County, AR",99386
"Grant County, AR",18265
"Greene County, AR",45325
"Hempstead County, AR",21532
"Hot Spring County, AR",33771
"Howard County, AR",13202
"Independence County, AR",37825
"Izard County, AR",13629
"Jackson County, AR",16719
"Jefferson County, AR",66824
"Johnson County, AR",26578
"Lafayette County, AR",6624
"Lawrence County, AR",16406
"Lee County, AR",8857
"Lincoln County, AR",13024
"Little River County, AR",12259
"Logan County, AR",21466
"Lonoke County, AR",73309
"Madison County, AR",16576
"Marion County, AR",16694
"Miller County, AR",43257
"Mississippi County, AR",40651
"Monroe County, AR",6701
"Montgomery County, AR",8986
"Nevada County, AR",8252
"Newton County, AR",7753
"Ouachita County, AR",23382
"Perry County, AR",10455
"Phillips County, AR",17782
"Pike County, AR",10718
"Poinsett County, AR",23528
"Polk County, AR",19964
"Pope County, AR",64072
"Prairie County, AR",8062
"Pulaski County, AR",391911
"Randolph County, AR",17958
"St. Francis County, AR",24994
"Saline County, AR",122437
"Scott County, AR",10281
"Searcy County, AR",7881
"Sebastian County, AR",127827
"Sevier County, AR",17007
"Sharp County, AR",17442
"Stone County, AR",12506
"Union County, AR",38682
"Van Buren County, AR",16545
"Washington County, AR",239187
"White County, AR",78753
"Woodruff County, AR",6320
"Yell County, AR",21341
"California, CA",39512223
"Alameda County, CA",1671329
"Alpine County, CA",1129
"Amador County, CA",39752
"Butte County, CA",219186
"Calaveras County, CA",45905
"Colusa County, CA",21547
"Contra Costa County, CA",1153526
"Del Norte County, CA",27812
"El Dorado County, CA",192843
"Fresno County, CA",999101
"Glenn County, CA",28393
"Humboldt County, CA",135558
"Imperial County, CA",181215
"Inyo County, CA",18039
"Kern County, CA",900202
"Kings County, CA",152940
"Lake County, CA",64386
"Lassen County, CA",30573
"Los Angeles County, CA",10039107
"Madera County, CA",157327
"Marin County, CA",258826
"Mariposa County, CA",17203
"Mendocino County, CA",86749
"Merced County, CA",277680
"Modoc County, CA",8841
"Mono County, CA",14444
"Monterey County, CA",434061
"Napa County, CA",137744
"Nevada County, CA",99755
"Orange County, CA",3175692
"Placer County, CA",398329
"Plumas County, CA",18807
"Riverside County, CA",2470546
"Sacramento County, CA",1552058
"San Benito County, CA",62808
"San Bernardino County, CA",2180085
"San Diego County, CA",3338330
"San Francisco County, CA",881549
"San Joaquin County, CA",762148
"San Luis Obispo County, CA",283111
"San Mateo County, CA",766573
"Santa Barbara County, CA",446499
"Santa Clara County, CA",1927852
"Santa Cruz County, CA",273213
"Shasta County, CA",180080
"Sierra County, CA",3005
"Siskiyou County, CA",43539
"Solano County, CA",447643
"Sonoma County, CA",494336
"Stanislaus County, CA",550660
"Sutter County, CA",96971
"Tehama County, CA",65084
"Trinity County, CA",12285
"Tulare County, CA",466195
"Tuolumne County, CA",54478
"Ventura County, CA",846006
"Yolo County, CA",220500
"Yuba County, CA",78668
"Colorado, CO",5758736
"Adams County, CO",517421
"Alamosa County, CO",16233
"Arapahoe County, CO",656590
"Archuleta County, CO",14029
"Baca County, CO",3581
"Bent County, CO",5577
"Boulder County, CO",326196
"Broomfield County, CO",70465
"Chaffee County, CO",20356
"Cheyenne County, CO",1831
"Clear Creek County, CO",9700
"Conejos County, CO",8205
"Costilla County, CO",3887
"Crowley County, CO",6061
"Custer County, CO",5068
"Delta County, CO",31162
"Denver County, CO",727211
"Dolores County, CO",2055
"Douglas County, CO",351154
"Eagle County, CO",55127
"Elbert County, CO",26729
"El Paso County, CO",720403
"Fremont County, CO",47839
"Garfield County, CO",60061
"Gilpin County, CO",6243
"Grand County, CO",15734
"Gunnison County, CO",17462
"Hinsdale County, CO",820
"Huerfano County, CO",6897
"Jackson County, CO",1392
"Jefferson County, CO",582881
"Kiowa County, CO",1406
"Kit Carson County, CO",7097
"Lake County, CO",8127
"La Plata County, CO",56221
"Larimer County, CO",356899
"Las Animas County, CO",14506
"Lincoln County, CO",5701
"Logan County, CO",22409
"Mesa County, CO",154210
"Mineral County, CO",769
"Moffat County, CO",13283
"Montezuma County, CO",26183
"Montrose County, CO",42758
"Morgan County, CO",29068
"Otero County, CO",18278
"Ouray County, CO",4952
"Park County, CO",18845
"Phillips County, CO",4265
"Pitkin County, CO",17767
"Prowers County, CO",12172
"Pueblo County, CO",168424
"Rio Blanco County, CO",6324
"Rio Grande County, CO",11267
"Routt County, CO",25638
"Saguache County, CO",6824
"San Juan County, CO",728
"San Miguel County, CO",8179
"Sedgwick County, CO",2248
"Summit County, CO",31011
"Teller County, CO",25388
"Washington County, CO",4908
"Weld County, CO",324492
"Yuma County, CO",10019
"Connecticut, CT",3565287
"Fairfield County, CT",943332
"Hartford County, CT",891720
"Litchfield County, CT",180333
"Middlesex County, CT",162436
"New Haven County, CT",854757
"New London County, CT",265206
"Tolland County, CT",150721
"Windham County, CT",116782
"Delaware, DE",973764
"Kent County, DE",180786
"New Castle County, DE",558753
"Sussex County, DE",234225
"District of Columbia, DC",705749
"District of Columbia, DC",705749
"Florida, FL",21477737
"Alachua County, FL",269043
"Baker County, FL",29210
"Bay County, FL",174705
"Bradford County, FL",28201
"Brevard County, FL",601942
"Broward County, FL",1952778
"Calhoun County, FL",14105
"Charlotte County, FL",188910
"Citrus County, FL",149657
"Clay County, FL",219252
"Collier County, FL",384902
"Columbia County, FL",71686
"DeSoto County, FL",38001
"Dixie County, FL",16826
"Duval County, FL",957755
"Escambia County, FL",318316
"Flagler County, FL",115081
"Franklin County, FL",12125
"Gadsden County, FL",45660
"Gilchrist County, FL",18582
"Glades County, FL",13811
"Gulf County, FL",13639
"Hamilton County, FL",14428
"Hardee County, FL",26937
"Hendry County, FL",42022
"Hernando County, FL",193920
"Highlands County, FL",106221
"Hillsborough County, FL",1471968
"Holmes County, FL",19617
"Indian River County, FL",159923
"Jackson County, FL",46414
"Jefferson County, FL",14246
"Lafayette County, FL",8422
"Lake County, FL",367118
"Lee County, FL",770577
"Leon County, FL",293582
"Levy County, FL",41503
"Liberty County, FL",8354
"Madison County, FL",18493
"Manatee County, FL",403253
"Marion County, FL",365579
"Martin County, FL",161000
"Miami-Dade County, FL",2716940
"Monroe County, FL",74228
"Nassau County, FL",88625
"Okaloosa County, FL",210738
"Okeechobee County, FL",42168
"Orange County, FL",1393452
"Osceola County, FL",375751
"Palm Beach County, FL",1496770
"Pasco County, FL",553947
"Pinellas County, FL",974996
"Polk County, FL",724777
"Putnam County, FL",74521
"St. Johns County, FL",264672
"St. Lucie County, FL",328297
"Santa Rosa County, FL",184313
"Sarasota County, FL",433742
"Seminole County, FL",471826
"Sumter County, FL",132420
"Suwannee County, FL",44417
"Taylor County, FL",21569
"Union County, FL",15237
"Volusia County, FL",553284
"Wakulla County, FL",33739
"Walton County, FL",74071
"Washington County, FL",25473
"Georgia, GA",10617423
"Appling County, GA",18386
"Atkinson County, GA",8165
"Bacon County, GA",11164
"Baker County, GA",3038
"Baldwin County, GA",44890
"Banks County, GA",19234
"Barrow County, GA",83240
"Bartow County, GA",107738
"Ben Hill County, GA",16700
"Berrien County, GA",19397
"Bibb County, GA",153159
"Bleckley County, GA",12873
"Brantley County, GA",19109
"Brooks County, GA",15457
"Bryan County, GA",39627
"Bulloch County, GA",79608
"Burke County, GA",22383
"Butts County, GA",24936
"Calhoun County, GA",6189
"Camden County, GA",54666
"Candler County, GA",10803
"Carroll County, GA",119992
"Catoosa County, GA",67580
"Charlton County, GA",13392
"Chatham County, GA",289430
"Chattahoochee County, GA",10907
"Chattooga County, GA",24789
"Cherokee County, GA",258773
"Clarke County, GA",128331
"Clay County, GA",2834
"Clayton County, GA",292256
"Clinch County, GA",6618
"Cobb County, GA",760141
"Coffee County, GA",43273
"Colquitt County, GA",45600
"Columbia County, GA",156714
"Cook County, GA",17270
"Coweta County, GA",148509
"Crawford County, GA",12404
"Crisp County, GA",22372
"Dade County, GA",16116
"Dawson County, GA",26108
"Decatur County, GA",26404
"DeKalb County, GA",759297
"Dodge County, GA",20605
"Dooly County, GA",13390
"Dougherty County, GA",87956
"Douglas County, GA",146343
"Early County, GA",10190
"Echols County, GA",4006
"Effingham County, GA",64296
"Elbert County, GA",19194
"Emanuel County, GA",22646
"Evans County, GA",10654
"Fannin County, GA",26188
"Fayette County, GA",114421
"Floyd County, GA",98498
"Forsyth County, GA",244252
"Franklin County, GA",23349
"Fulton County, GA",1063937
"Gilmer County, GA",31369
"Glascock County, GA",2971
"Glynn County, GA",85292
"Gordon County, GA",57963
"Grady County, GA",24633
"Greene County, GA",18324
"Gwinnett County, GA",936250
"Habersham County, GA",45328
"Hall County, GA",204441
"Hancock County, GA",8457
"Haralson County, GA",29792
"Harris County, GA",35236
"Hart County, GA",26205
"Heard County, GA",11923
"Henry County, GA",234561
"Houston County, GA",157863
"Irwin County, GA",9416
"Jackson County, GA",72977
"Jasper County, GA",14219
"Jeff Davis County, GA",15115
"Jefferson County, GA",15362
"Jenkins County, GA",8676
"Johnson County, GA",9643
"Jones County, GA",28735
"Lamar County, GA",19077
"Lanier County, GA",10423
"Laurens County, GA",47546
"Lee County, GA",29992
"Liberty County, GA",61435
"Lincoln County, GA",7921
"Long County, GA",19559
"Lowndes County, GA",117406
"Lumpkin County, GA",33610
"McDuffie County, GA",21312
"McIntosh County, GA",14378
"Macon County, GA",12947
"Madison County, GA",29880
"Marion County, GA",8359
"Meriwether County, GA",21167
"Miller County, GA",5718
"Mitchell County, GA",21863
"Monroe County, GA",27578
"Montgomery County, GA",9172
"Morgan County, GA",19276
"Murray County, GA",40096
"Muscogee County, GA",195769
"Newton County, GA",111744
"Oconee County, GA",40280
"Oglethorpe County, GA",15259
"Paulding County, GA",168667
"Peach County, GA",27546
"Pickens County, GA",32591
"Pierce County, GA",19465
"Pike County, GA",18962
"Polk County, GA",42613
"Pulaski County, GA",11137
"Putnam County, GA",22119
"Quitman County, GA",2299
"Rabun County, GA",17137
"Randolph County, GA",6778
"Richmond County, GA",202518
"Rockdale County, GA",90896
"Schley County, GA",5257
"Screven County, GA",13966
"Seminole County, GA",8090
"Spalding County, GA",66703
"Stephens County, GA",25925
"Stewart County, GA",6621
"Sumter County, GA",29524
"Talbot County, GA",6195
"Taliaferro County, GA",1537
"Tattnall County, GA",25286
"Taylor County, GA",8020
"Telfair County, GA",15860
"Terrell County, GA",8531
"Thomas County, GA",44451
"Tift County, GA",40644
"Toombs County, GA",26830
"Towns County, GA",12037
"Treutlen County, GA",6901
"Troup County, GA",69922
"Turner County, GA",7985
"Twiggs County, GA",8120
"Union County, GA",24511
"Upson County, GA",26320
"Walker County, GA",69761
"Walton County, GA",94593
"Ware County, GA",35734
"Warren County, GA",5254
"Washington County, GA",20374
"Wayne County, GA",29927
"Webster County, GA",2607
"Wheeler County, GA",7855
"White County, GA",30798
"Whitfield County, GA",104628
"Wilcox County, GA",8635
"Wilkes County, GA",9777
"Wilkinson County, GA",8954
"Worth County, GA",20247
"Hawaii, HI",1415872
"Hawaii County, HI",201513
"Honolulu County, HI",974563
"Kalawao County, HI",86
"Kauai County, HI",72293
"Maui County, HI",167417
"Idaho, ID",1787065
"Ada County, ID",481587
"Adams County, ID",4294
"Bannock County, ID",87808
"Bear Lake County, ID",6125
"Benewah County, ID",9298
"Bingham County, ID",46811
"Blaine County, ID",23021
"Boise County, ID",7831
"Bonner County, ID",45739
"Bonneville County, ID",119062
"Boundary County, ID",12245
"Butte County, ID",2597
"Camas County, ID",1106
"Canyon County, ID",229849
"Caribou County, ID",7155
"Cassia County, ID",24030
"Clark County, ID",845
"Clearwater County, ID",8756
"Custer County, ID",4315
"Elmore County, ID",27511
"Franklin County, ID",13876
"Fremont County, ID",13099
"Gem County, ID",18112
"Gooding County, ID",15179
"Idaho County, ID",16667
"Jefferson County, ID",29871
"Jerome County, ID",24412
"Kootenai County, ID",165697
"Latah County, ID",40108
"Lemhi County, ID",8027
"Lewis County, ID",3838
"Lincoln County, ID",5366
"Madison County, ID",39907
"Minidoka County, ID",21039
"Nez Perce County, ID",40408
"Oneida County, ID",4531
"Owyhee County, ID",11823
"Payette County, ID",23951
"Power County, ID",7681
"Shoshone County, ID",12882
"Teton County, ID",12142
"Twin Falls County, ID",86878
"Valley County, ID",11392
"Washington County, ID",10194
"Illinois, IL",12671821
"Adams County, IL",65435
"Alexander County, IL",5761
"Bond County, IL",16426
"Boone County, IL",53544
"Brown County, IL",6578
"Bureau County, IL",32628
"Calhoun County, IL",4739
"Carroll County, IL",14305
"Cass County, IL",12147
"Champaign County, IL",209689
"Christian County, IL",32304
"Clark County, IL",15441
"Clay County, IL",13184
"Clinton County, IL",37562
"Coles County, IL",50621
"Cook County, IL",5150233
"Crawford County, IL",18667
"Cumberland County, IL",10766
"DeKalb County, IL",104897
"De Witt County, IL",15638
"Douglas County, IL",19465
"DuPage County, IL",922921
"Edgar County, IL",17161
"Edwards County, IL",6395
"Effingham County, IL",34008
"Fayette County, IL",21336
"Ford County, IL",12961
"Franklin County, IL",38469
"Fulton County, IL",34340
"Gallatin County, IL",4828
"Greene County, IL",12969
"Grundy County, IL",51054
"Hamilton County, IL",8116
"Hancock County, IL",17708
"Hardin County, IL",3821
"Henderson County, IL",6646
"Henry County, IL",48913
"Iroquois County, IL",27114
"Jackson County, IL",56750
"Jasper County, IL",9610
"Jefferson County, IL",37684
"Jersey County, IL",21773
"Jo Daviess County, IL",21235
"Johnson County, IL",12417
"Kane County, IL",532403
"Kankakee County, IL",109862
"Kendall County, IL",128990
"Knox County, IL",49699
"Lake County, IL",696535
"LaSalle County, IL",108669
"Lawrence County, IL",15678
"Lee County, IL",34096
"Livingston County, IL",35648
"Logan County, IL",28618
"McDonough County, IL",29682
"McHenry County, IL",307774
"McLean County, IL",171517
"Macon County, IL",104009
"Macoupin County, IL",44926
"Madison County, IL",262966
"Marion County, IL",37205
"Marshall County, IL",11438
"Mason County, IL",13359
"Massac County, IL",13772
"Menard County, IL",12196
"Mercer County, IL",15437
"Monroe County, IL",34637
"Montgomery County, IL",28414
"Morgan County, IL",33658
"Moultrie County, IL",14501
"Ogle County, IL",50643
"Peoria County, IL",179179
"Perry County, IL",20916
"Piatt County, IL",16344
"Pike County, IL",15561
"Pope County, IL",4177
"Pulaski County, IL",5335
"Putnam County, IL",5739
"Randolph County, IL",31782
"Richland County, IL",15513
"Rock Island County, IL",141879
"St. Clair County, IL",259686
"Saline County, IL",23491
"Sangamon County, IL",194672
"Schuyler County, IL",6768
"Scott County, IL",4951
"Shelby County, IL",21634
"Stark County, IL",5342
"Stephenson County, IL",44498
"Tazewell County, IL",131803
"Union County, IL",16653
"Vermilion County, IL",75758
"Wabash County, IL",11520
"Warren County, IL",16844
"Washington County, IL",13887
"Wayne County, IL",16215
"White County, IL",13537
"Whiteside County, IL",55175
"Will County, IL",690743
"Williamson County, IL",66597
"Winnebago County, IL",282572
"Woodford County, IL",38459
"Indiana, IN",6732219
"Adams County, IN",35777
"Allen County, IN",379299
"Bartholomew County, IN",83779
"Benton County, IN",8748
"Blackford County, IN",11758
"Boone County, IN",67843
"Brown County, IN",15092
"Carroll County, IN",20257
"Cass County, IN",37689
"Clark County, IN",118302
"Clay County, IN",26225
"Clinton County, IN",32399
"Crawford County, IN",10577
"Daviess County, IN",33351
"Dearborn County, IN",49458
"Decatur County, IN",26559
"DeKalb County, IN",43475
"Delaware County, IN",114135
"Dubois County, IN",42736
"Elkhart County, IN",206341
"Fayette County, IN",23102
"Floyd County, IN",78522
"Fountain County, IN",16346
"Franklin County, IN",22758
"Fulton County, IN",19974
"Gibson County, IN",33659
"Grant County, IN",65769
"Greene County, IN",31922
"Hamilton County, IN",338011
"Hancock County, IN",78168
"Harrison County, IN",40515
"Hendricks County, IN",170311
"Henry County, IN",47972
"Howard County, IN",82544
"Huntington County, IN",36520
"Jackson County, IN",44231
"Jasper County, IN",33562
"Jay County, IN",20436
"Jefferson County, IN",32308
"Jennings County, IN",27735
"Johnson County, IN",158167
"Knox County, IN",36594
"Kosciusko County, IN",79456
"LaGrange County, IN",39614
"Lake County, IN",485493
"LaPorte County, IN",109888
"Lawrence County, IN",45370
"Madison County, IN",129569
"Marion County, IN",964582
"Marshall County, IN",46258
"Martin County, IN",10255
"Miami County, IN",35516
"Monroe County, IN",148431
"Montgomery County, IN",38338
"Morgan County, IN",70489
"Newton County, IN",13984
"Noble County, IN",47744
"Ohio County, IN",5875
"Orange County, IN",19646
"Owen County, IN",20799
"Parke County, IN",16937
"Perry County, IN",19169
"Pike County, IN",12389
"Porter County, IN",170389
"Posey County, IN",25427
"Pulaski County, IN",12353
"Putnam County, IN",37576
"Randolph County, IN",24665
"Ripley County, IN",28324
"Rush County, IN",16581
"St. Joseph County, IN",271826
"Scott County, IN",23873
"Shelby County, IN",44729
"Spencer County, IN",20277
"Starke County, IN",22995
"Steuben County, IN",34594
"Sullivan County, IN",20669
"Switzerland County, IN",10751
"Tippecanoe County, IN",195732
